"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"847",158,41,11,1,TRUE,"2020-10-17T11:30:00Z",2,2,5,71,0,0,0,2,0,0,0,1,0,0,0,-2,"4.2","12.2","0.0","1.6",55,-6314,23833,756,7070,"André Filipe Tavares Gomes"
"848",159,4,17,0,FALSE,"2020-09-13T15:30:00Z",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",60,0,10789,0,0,"Alex Iwobi"
"849",159,12,18,1,TRUE,"2020-09-19T11:30:00Z",5,2,2,19,0,0,0,0,0,0,0,0,0,0,0,2,"0.0","6.0","4.0","0.9",60,-2245,11246,641,2886,"Alex Iwobi"
"850",159,21,6,1,FALSE,"2020-09-26T14:00:00Z",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,2,"2.0","0.3","0.0","0.2",59,-1782,10421,500,2282,"Alex Iwobi"
"851",159,32,3,5,TRUE,"2020-10-03T14:00:00Z",4,2,4,65,0,1,0,2,0,0,0,0,0,0,0,15,"27.2","13.6","4.0","4.5",59,-750,10403,608,1358,"Alex Iwobi"
"852",159,41,11,1,TRUE,"2020-10-17T11:30:00Z",2,2,5,12,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","1.6","0.0","0.2",59,31,11514,1328,1297,"Alex Iwobi"
"853",160,4,17,0,FALSE,"2020-09-13T15:30:00Z",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",45,0,12770,0,0,"Jonjoe Kenny"
"854",160,12,18,0,TRUE,"2020-09-19T11:30:00Z",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",45,-1925,13715,992,2917,"Jonjoe Kenny"
"855",160,21,6,0,FALSE,"2020-09-26T14:00:00Z",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",44,-2206,12687,1078,3284,"Jonjoe Kenny"
"856",160,32,3,0,TRUE,"2020-10-03T14:00:00Z",4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",44,-2292,10697,405,2697,"Jonjoe Kenny"
