"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","playername"
"15",100,100,156074,0,0,-1,1,1,2,"3.5","3.0",9,"Rob","2.5",16,FALSE,"","2020-10-17T22:30:19.025474Z",44,"156074.jpg","2.8","Holding","1.9",FALSE,NA,"a",1,3,36,261094,31511,241011,2814,"0.6","8.2","Holding",1125,0,0,4,14,1,0,0,2,0,0,3,211,"228.4","10.2","50.0","28.8",107,40,358,131,228,66,217,67,NA,"",NA,"",NA,"","Rob Holding"
"16",100,100,192895,0,0,-2,2,0,2,"3.5","3.0",6,"Kieran","2.5",17,FALSE,"","2020-10-14T10:30:19.613747Z",53,"192895.jpg","2.7","Tierney","4.4",FALSE,NA,"a",1,3,41,187018,16285,655812,3366,"0.5","7.7","Tierney",1340,0,1,4,18,0,0,0,3,0,0,0,253,"221.2","265.9","94.0","58.1",115,44,34,8,166,33,73,13,NA,"",NA,"",NA,"","Kieran Tierney"
"17",100,100,195735,0,0,-4,4,0,3,"2.8","2.3",0,"Nicolas","1.8",18,FALSE,"","2020-11-22T18:30:18.803078Z",76,"195735.jpg","2.0","Pépé","0.7",FALSE,NA,"a",1,3,22,29415,673,141648,1091,"0.2","2.9","Pépé",450,2,0,0,10,0,0,0,0,1,0,1,68,"84.6","45.0","151.0","27.9",276,117,249,145,98,51,225,106,2,"",3,"",2,"","Nicolas Pépé"
"18",0,0,198849,0,0,-3,3,0,3,"0.0","0.0",0,"Lucas","0.0",19,FALSE,"Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul","2020-10-05T22:30:19.674811Z",47,"198849.jpg","0.0","Torreira","0.1",FALSE,NA,"n",1,3,0,3452,4,17214,31,"0.0","0.0","Torreira",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",569,226,560,227,548,221,572,226,NA,"",NA,"",NA,"","Lucas Torreira"
"19",NA,NA,200089,0,0,-3,3,0,3,"1.3","0.8",0,"Joseph","0.3",20,FALSE,"",NA,47,"200089.jpg","1.0","Willock","0.1",FALSE,NA,"a",1,3,5,3992,84,8771,113,"0.1","1.1","Willock",220,0,0,0,3,0,0,0,1,0,0,0,15,"21.2","29.4","46.0","9.7",383,166,290,158,244,127,342,152,NA,"",NA,"",NA,"","Joseph Willock"
"20",100,100,200641,0,0,-4,4,0,3,"1.0","0.5",0,"Reiss","0.0",21,FALSE,"","2020-12-10T18:00:18.250168Z",51,"200641.jpg","1.0","Nelson","0.0",FALSE,NA,"a",1,3,2,1641,50,5863,36,"0.0","0.4","Nelson",70,0,0,0,0,0,0,0,0,0,0,0,2,"4.2","9.7","10.0","2.4",428,184,363,177,345,162,414,181,5,"",NA,"",NA,"","Reiss Nelson"
"21",NA,NA,205533,0,0,-5,5,0,4,"2.7","2.2",0,"Edward","1.7",22,FALSE,"",NA,55,"205533.jpg","2.1","Nketiah","0.5",FALSE,NA,"a",1,3,25,41635,561,136458,983,"0.3","4.5","Nketiah",307,1,1,0,6,0,0,0,0,0,0,4,80,"74.4","58.3","116.0","24.6",290,34,211,35,137,39,252,38,NA,"",NA,"",NA,"","Edward Nketiah"
"22",100,100,209289,0,0,-1,1,0,3,"2.5","2.0",3,"Emile","1.5",23,FALSE,"","2020-09-11T11:00:08.673059Z",44,"209289.jpg","4.5","Smith Rowe","0.4",FALSE,NA,"a",1,3,9,30879,6143,23572,1416,"0.3","2.0","Smith Rowe",152,0,1,2,0,0,0,0,0,0,0,0,24,"28.2","47.6","6.0","8.2",369,158,245,143,363,171,355,159,NA,"",NA,"",NA,"","Emile Smith Rowe"
"23",75,100,223340,1,-1,-3,3,1,3,"4.1","5.0",6,"Bukayo","4.5",24,FALSE,"Knock - 75% chance of playing","2020-12-30T00:00:13.763798Z",52,"223340.jpg","3.4","Saka","4.2",FALSE,NA,"d",1,3,48,326087,49601,540056,10434,"0.9","9.2","Saka",1163,2,2,3,15,1,0,0,0,0,0,4,176,"213.8","249.5","463.0","92.6",120,42,46,32,18,10,26,16,4,"",NA,"",NA,"","Bukayo Saka"
"24",0,0,242166,0,0,-3,3,0,3,"0.0","0.0",0,"Matteo","0.0",25,FALSE,"Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul","2020-10-05T17:00:15.072120Z",47,"242166.jpg","0.0","Guendouzi","0.1",FALSE,NA,"n",1,3,0,2712,5,12823,18,"0.0","0.0","Guendouzi",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",572,228,563,229,551,223,575,228,NA,"",NA,"",NA,"","Matteo Guendouzi"
"25",100,100,444145,0,0,-1,1,0,3,"2.2","1.7",3,"Gabriel Teodoro","1.2",26,FALSE,"","2020-12-22T23:30:20.662852Z",49,"444145.jpg","2.3","Martinelli Silva","0.8",FALSE,NA,"a",1,3,7,62517,12448,7051,2872,"0.2","1.4","Martinelli",154,0,0,2,0,0,0,0,0,0,0,0,9,"10.8","3.7","68.0","8.2",416,179,384,182,198,105,356,160,NA,"",NA,"",NA,"","Gabriel Teodoro Martinelli Silva"
"26",NA,NA,462424,0,0,-5,5,0,2,"1.0","0.5",0,"William","0.0",27,FALSE,"",NA,40,"462424.jpg","0.0","Saliba","0.7",FALSE,NA,"a",1,3,0,30087,411,212189,849,"0.0","0.0","Saliba",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",482,187,464,187,433,171,486,187,NA,"",NA,"",NA,"","William Saliba"
"27",75,75,47431,0,0,-4,4,1,3,"1.5","1.1",0,"Willian","1.0",478,FALSE,"Illness - 75% chance of playing","2020-12-26T18:00:16.845067Z",76,"47431.jpg","3.2","Borges Da Silva","3.1",FALSE,NA,"d",1,3,39,773457,61,1314596,4218,"0.1","5.1","Willian",882,0,4,2,13,0,0,0,0,0,0,2,159,"114.4","257.2","89.0","46.2",235,97,37,26,172,94,127,67,1,"",2,"",NA,"","Willian Borges Da Silva"
"28",0,0,226597,0,0,0,0,1,2,"0.0","0.0",0,"Gabriel","0.3",494,FALSE,"Illness - Expected back 14 Jan","2020-12-26T18:00:16.873188Z",50,"226597.jpg","3.9","Magalhães","6.4",FALSE,NA,"i",1,3,47,1011869,43,1025048,33753,"0.1","9.4","Gabriel",1051,2,0,3,13,0,0,0,1,1,0,6,224,"300.0","22.3","138.0","46.0",48,14,308,99,114,18,129,30,NA,"",NA,"",NA,"","Gabriel Magalhães"
"29",100,100,182539,0,0,-3,3,0,3,"2.0","1.5",1,"Daniel","1.0",501,FALSE,"","2020-10-21T16:30:22.125075Z",47,"182539.jpg","2.0","Ceballos Fernández","0.9",FALSE,NA,"a",1,3,28,133225,686,216319,1867,"0.2","6.0","Ceballos",857,0,1,2,12,0,0,0,2,0,0,3,169,"193.0","209.0","50.0","45.4",144,52,60,40,229,117,134,72,3,"",5,"",NA,"","Daniel Ceballos Fernández"
"30",100,100,153256,0,0,-1,1,0,3,"2.5","2.0",3,"Mohamed Naser","1.5",526,FALSE,"","2020-11-16T22:00:27.131231Z",44,"153256.jpg","2.1","El Sayed Elneny","1.4",FALSE,NA,"a",1,3,21,238291,4094,198128,3335,"0.3","4.8","Elneny",873,0,0,3,12,0,0,0,2,0,0,0,131,"101.0","62.3","28.0","19.0",259,108,205,124,288,148,282,133,NA,"",NA,"",NA,"","Mohamed Naser El Sayed Elneny"
"31",NA,NA,113534,0,0,0,0,0,1,"1.0","0.5",0,"Matt","0.0",527,FALSE,"",NA,40,"113534.jpg","0.0","Macey","1.9",FALSE,NA,"a",1,3,0,162603,3569,69097,3221,"0.0","0.0","Macey",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",470,41,451,17,420,13,474,41,NA,"",NA,"",NA,"","Matt Macey"
"32",NA,NA,115918,0,0,0,0,0,1,"1.0","0.5",0,"Rúnar Alex","0.0",547,FALSE,"",NA,45,"115918.jpg","0.0","Rúnarsson","0.0",FALSE,NA,"a",1,3,0,1866,41,1677,56,"0.0","0.0","Rúnarsson",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",540,69,527,52,510,49,543,69,NA,"",NA,"",NA,"","Rúnar Alex Rúnarsson"
"33",0,0,167199,0,0,-1,1,0,3,"0.0","0.0",0,"Thomas","0.2",567,FALSE,"Thigh injury - Unknown return date","2020-11-09T00:00:26.507224Z",49,"167199.jpg","1.4","Partey","0.3",FALSE,NA,"i",1,3,7,105955,73,96128,853,"0.0","1.4","Partey",277,0,0,1,4,0,0,0,1,0,0,0,51,"47.0","23.4","29.0","9.9",334,146,305,164,286,146,341,151,NA,"",NA,"",NA,"","Thomas Partey"
"34",NA,NA,98980,0,0,5,-5,1,1,"7.1","7.1",3,"Emiliano","7.6",12,TRUE,"",NA,50,"98980.jpg","5.7","Martínez","29.8",FALSE,NA,"a",2,7,80,2387393,51152,767035,20407,"1.5","16.0","Martínez",1260,0,0,8,14,0,1,0,0,0,45,10,324,"343.4","0.0","0.0","34.2",31,12,591,62,583,61,185,12,NA,"",NA,"",NA,"","Emiliano Martínez"
"35",100,100,21205,0,0,0,0,0,1,"-0.5","-0.5",0,"Tom","0.0",28,FALSE,"","2020-08-15T10:00:11.430596Z",45,"21205.jpg","0.0","Heaton","0.0",FALSE,NA,"a",2,7,0,2044,145,3788,101,"0.0","0.0","Heaton",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",534,65,518,45,500,42,537,65,NA,"",NA,"",NA,"","Tom Heaton"
"36",NA,NA,37339,0,0,-2,2,1,2,"1.3","1.3",0,"Ahmed","1.8",29,FALSE,"",NA,43,"37339.jpg","2.4","El Mohamady","0.4",FALSE,NA,"a",2,7,12,22129,828,32213,1181,"0.4","2.8","El Mohamady",129,0,0,1,0,0,0,0,0,0,0,2,43,"27.2","73.0","21.0","12.2",372,145,194,44,305,101,327,115,NA,"",NA,"",NA,"","Ahmed El Mohamady"
"37",0,0,40564,0,0,-2,2,0,3,"0.0","0.0",0,"Henri","0.0",30,FALSE,"Not included in Aston Villa's 25-man Premier League squad. - Unknown return date","2020-10-20T22:30:18.217167Z",43,"40564.jpg","0.0","Lansbury","0.1",FALSE,NA,"n",2,7,0,5891,49,17739,130,"0.0","0.0","Lansbury",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",490,192,472,193,446,183,494,192,NA,"",NA,"",NA,"","Henri Lansbury"
"38",NA,NA,47390,0,0,-2,2,0,2,"-0.5","-0.5",0,"Neil","0.0",31,FALSE,"",NA,43,"47390.jpg","0.0","Taylor","0.2",FALSE,NA,"a",2,7,0,13299,288,25904,420,"0.0","0.0","Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",491,191,473,191,447,180,495,191,NA,"",NA,"",NA,"","Neil Taylor"
"39",NA,NA,79852,0,0,0,0,0,1,"-0.5","-0.5",0,"Jed","0.0",32,FALSE,"",NA,40,"79852.jpg","0.0","Steer","4.9",FALSE,NA,"a",2,7,0,221897,2311,223559,6453,"0.0","0.0","Steer",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",467,38,448,14,417,10,471,38,NA,"",NA,"",NA,"","Jed Steer"
"40",NA,NA,85242,0,0,-1,1,1,3,"-0.5","-0.5",0,"Conor","0.0",33,FALSE,"",NA,59,"85242.jpg","5.0","Hourihane","0.1",FALSE,NA,"a",2,7,20,23639,30,25040,134,"0.0","3.4","Hourihane",225,1,1,2,2,0,0,0,0,0,0,3,70,"65.4","82.9","33.0","18.2",305,133,181,115,274,138,284,135,1,"",1,"",NA,"","Conor Hourihane"
"41",0,0,89274,0,0,-1,1,0,3,"0.0","0.0",0,"José Ignacio","0.0",34,FALSE,"Contract ended","2020-10-05T07:17:10.828418Z",59,"89274.jpg","0.0","Peleteiro Romallo","0.0",FALSE,NA,"u",2,7,0,1435,3,7567,20,"0.0","0.0","Jota",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",610,245,609,245,609,245,611,245,NA,"",NA,"",NA,"","José Ignacio Peleteiro Romallo"
"42",0,0,98770,0,0,0,0,0,1,"0.0","0.0",0,"Ørjan","0.0",35,FALSE,"Contract terminated on 5/10","2020-10-05T21:00:11.316167Z",40,"98770.jpg","0.0","Nyland","6.0",FALSE,NA,"u",2,7,0,144835,34,753168,10530,"0.0","0.0","Nyland",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",468,39,449,15,418,11,472,39,NA,"",NA,"",NA,"","Ørjan Nyland"
"43",100,100,108156,0,0,-1,1,0,2,"-0.5","-0.5",0,"Bjorn","0.0",36,FALSE,"","2020-11-19T11:00:18.103635Z",44,"108156.jpg","0.0","Engels","0.1",FALSE,NA,"a",2,7,0,10935,53,17930,64,"0.0","0.0","Engels",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",523,203,507,203,486,195,527,203,NA,"",NA,"",NA,"","Bjorn Engels"
"44",NA,NA,114283,-1,1,7,-7,2,3,"3.3","3.3",2,"Jack","3.8",37,TRUE,"",NA,77,"114283.jpg","6.4","Grealish","40.1",FALSE,NA,"a",2,7,90,4117404,38067,1988140,119948,"0.5","11.7","Grealish",1260,5,8,8,14,0,0,0,4,0,0,9,341,"466.6","642.8","718.0","182.5",9,4,2,2,4,2,2,2,3,"",4,"",2,"","Jack Grealish"
"45",NA,NA,122806,0,0,0,0,0,3,"2.7","2.7",2,"John","3.2",38,FALSE,"",NA,55,"122806.jpg","3.9","McGinn","1.5",FALSE,NA,"a",2,7,54,300474,2251,242635,5205,"0.6","9.8","McGinn",1260,1,5,8,14,0,0,0,4,0,0,2,204,"227.8","272.7","134.0","63.4",110,40,33,25,118,60,59,33,5,"",NA,"",NA,"","John McGinn"
"46",100,100,123354,0,0,-1,1,1,2,"5.1","5.1",2,"Kortney","5.6",39,FALSE,"","2020-10-01T22:30:14.186065Z",44,"123354.jpg","7.0","Hause","0.5",FALSE,NA,"a",2,7,28,39677,9999,9603,2765,"1.3","6.4","Hause",360,1,0,3,1,0,0,0,1,0,0,3,89,"91.0","1.5","49.0","14.2",267,104,398,154,234,67,314,107,NA,"",NA,"",NA,"","Kortney Hause"
"47",0,0,148508,0,0,-3,3,0,3,"0.0","0.0",0,"Mahmoud Ahmed","0.0",40,FALSE,"Hamstring injury - Unknown return date","2020-12-15T11:30:19.909046Z",52,"148508.jpg","2.8","Ibrahim Hassan","0.5",FALSE,NA,"i",2,7,25,57543,35,124933,1016,"0.0","4.8","Trézéguet",715,0,1,4,10,0,0,0,0,0,0,0,75,"111.8","121.6","324.0","55.6",237,99,139,89,41,22,85,50,NA,"",NA,"",NA,"","Mahmoud Ahmed Ibrahim Hassan"
"48",100,0,149484,0,0,4,-4,2,2,"2.9","0.0",0,"Tyrone","3.4",41,FALSE,"","2020-12-26T17:00:15.486559Z",54,"149484.jpg","4.7","Mings","10.1",FALSE,NA,"a",2,7,61,1347640,10504,821341,33508,"0.6","11.3","Mings",1124,2,1,7,13,0,0,0,3,1,0,5,253,"279.4","61.7","133.0","47.6",62,19,208,50,119,21,114,24,NA,"",NA,"",NA,"","Tyrone Mings"
"49",NA,NA,169359,0,0,1,-1,1,2,"4.5","4.5",2,"Matt","5.0",42,FALSE,"",NA,46,"169359.jpg","3.9","Targett","4.5",FALSE,NA,"a",2,7,55,450699,28650,189163,12695,"1.1","12.0","Targett",1260,0,1,8,14,0,0,0,4,0,0,2,254,"196.2","194.0","56.0","44.9",139,56,68,15,220,60,139,33,NA,"",3,"",NA,"","Matt Targett"
"50",0,0,184386,0,0,0,0,0,2,"0.0","0.0",0,"James","0.0",43,FALSE,"Joined Luton Town on a permanent deal on 1/9","2020-09-02T09:00:10.425295Z",45,"184386.jpg","0.0","Bree","0.0",FALSE,NA,"u",2,7,0,9834,4,10276,7,"0.0","0.0","Bree",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",542,207,529,207,512,201,545,207,NA,"",NA,"",NA,"","James Bree"
"51",NA,NA,184704,0,0,-2,2,0,3,"0.3","0.3",0,"Marvelous","0.8",44,FALSE,"",NA,43,"184704.jpg","1.2","Nakamba","0.8",FALSE,NA,"a",2,7,5,66625,2850,53789,3193,"0.2","1.2","Nakamba",104,0,0,1,0,0,0,0,1,0,0,0,12,"11.2","11.8","7.0","3.1",413,178,347,176,357,169,403,179,NA,"",NA,"",NA,"","Marvelous Nakamba"
"52",NA,NA,193488,1,-1,-2,2,1,3,"7.9","7.9",7,"Anwar","8.4",45,FALSE,"",NA,58,"193488.jpg","5.6","El Ghazi","2.8",FALSE,NA,"a",2,7,45,229980,85338,32574,8343,"1.4","7.8","El Ghazi",395,5,0,3,1,0,0,0,1,0,0,6,143,"237.2","152.2","355.0","74.6",100,36,102,70,35,19,46,27,NA,"",NA,"",1,"","Anwar El Ghazi"
"53",100,100,199798,0,0,2,-2,1,2,"1.1","1.1",2,"Ezri","1.6",46,FALSE,"","2020-12-17T18:30:14.260503Z",47,"199798.jpg","4.3","Konsa Ngoyo","6.8",FALSE,NA,"a",2,7,52,1020017,5499,618031,15694,"0.3","11.1","Konsa",1035,2,0,5,14,0,0,0,1,0,0,4,213,"230.6","4.4","111.0","34.7",105,39,379,142,144,25,183,50,NA,"",NA,"",NA,"","Ezri Konsa Ngoyo"
"54",100,100,203368,0,0,-2,2,0,2,"-0.5","-0.5",0,"Frédéric","0.0",47,FALSE,"","2020-11-19T11:00:18.118134Z",43,"203368.jpg","0.0","Guilbert","0.1",FALSE,NA,"a",2,7,0,1712,40,8624,80,"0.0","0.0","Guilbert",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",505,197,489,197,464,186,509,197,NA,"",NA,"",NA,"","Frédéric Guilbert"
"55",0,0,213345,0,0,0,0,0,4,"0.0","0.0",0,"Wesley","0.0",48,FALSE,"Knee injury - Unknown return date","2020-08-15T10:00:11.458856Z",60,"213345.jpg","0.0","Moraes","0.0",FALSE,NA,"i",2,7,0,852,18,1261,28,"0.0","0.0","Wesley",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",614,76,615,77,615,77,615,77,NA,"",NA,"",NA,"","Wesley Moraes"
"56",0,0,217487,0,0,-1,1,0,4,"0.0","0.0",0,"Mbwana","0.0",49,FALSE,"Joined Fenerbahce on a permanent deal on 25/9","2020-09-25T09:00:10.072147Z",59,"217487.jpg","0.0","Samatta","0.0",FALSE,NA,"u",2,7,0,1617,7,8312,12,"0.0","0.0","Samatta",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",613,75,613,76,613,76,614,76,NA,"",NA,"",NA,"","Mbwana Samatta"
"57",100,100,221239,0,0,-2,2,0,4,"-0.1","-0.1",1,"Keinan","0.4",50,FALSE,"","2020-11-24T23:00:18.514322Z",43,"221239.jpg","1.0","Davis","7.7",FALSE,NA,"a",2,7,3,668405,18124,1175830,15208,"0.1","0.7","Davis",41,0,0,0,0,0,0,0,0,0,0,0,9,"4.6","14.6","10.0","2.9",425,51,333,47,342,53,409,52,NA,"",NA,"",NA,"","Keinan Davis"
"58",0,0,223349,0,0,-2,2,0,4,"0.0","0.0",0,"Indiana","0.0",51,FALSE,"Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul","2020-09-17T16:30:17.739025Z",43,"223349.jpg","0.0","Vassilev","0.6",FALSE,NA,"n",2,7,0,52847,585,144346,886,"0.0","0.0","Vassilev",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",509,58,493,62,469,61,513,62,NA,"",NA,"",NA,"","Indiana Vassilev"
