"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","playername"
"1",0,0,37605,0,0,-2,2,0,3,"0.0","0.0",0,"Mesut","0.0",1,FALSE,"Not included in Arsenal's 25-man Premier League squad. - Unknown return date","2020-10-20T22:30:18.118477Z",68,"37605.jpg","0.0","Özil","0.6",FALSE,NA,"n",1,3,0,3405,5,52944,97,"0.0","0.0","Özil",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",616,247,616,247,616,247,616,247,NA,"",NA,"",NA,"","Mesut Özil"
"2",0,0,39476,0,0,-2,2,0,2,"0.0","0.0",0,"Sokratis","0.0",2,FALSE,"Not included in Arsenal's 25-man Premier League squad. - Unknown return date","2020-10-21T10:30:18.546407Z",48,"39476.jpg","0.0","Papastathopoulos","0.1",FALSE,NA,"n",1,3,0,10255,5,18840,20,"0.0","0.0","Sokratis",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",574,212,565,212,553,208,577,212,NA,"",NA,"",NA,"","Sokratis Papastathopoulos"
"3",75,75,41270,0,0,-1,1,0,2,"1.0","0.6",0,"David","0.3",3,FALSE,"Illness - 75% chance of playing","2020-12-26T18:00:15.638627Z",54,"41270.jpg","1.1","Luiz Moreira Marinho","0.7",FALSE,NA,"d",1,3,9,39083,42,89267,883,"0.1","1.7","David Luiz",479,0,0,0,9,0,0,0,0,0,0,0,70,"99.4","25.8","40.0","16.5",260,100,296,93,259,79,295,97,NA,"",4,"",NA,"","David Luiz Moreira Marinho"
"4",100,100,54694,0,0,-6,6,1,3,"3.5","3.0",3,"Pierre-Emerick","2.5",4,FALSE,"","2020-12-19T20:30:20.434896Z",114,"54694.jpg","3.6","Aubameyang","7.3",FALSE,NA,"a",1,3,50,499424,5586,3143022,6225,"0.2","4.4","Aubameyang",1256,3,1,4,16,1,0,0,2,0,0,4,146,"191.2","208.8","401.0","80.1",147,54,61,41,27,14,38,24,NA,"",NA,"",1,"","Pierre-Emerick Aubameyang"
"5",100,100,58822,0,0,-4,4,0,2,"1.2","0.7",0,"Cédric","0.2",5,FALSE,"","2020-09-23T09:00:14.881983Z",46,"58822.jpg","1.0","Soares","0.2",FALSE,NA,"a",1,3,1,3887,39,34544,129,"0.0","0.2","Cédric",5,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",561,208,549,208,532,202,564,208,NA,"",NA,"",NA,"","Cédric Soares"
"6",NA,NA,59966,0,0,-3,3,0,4,"4.0","3.5",7,"Alexandre","3.0",6,FALSE,"",NA,82,"59966.jpg","3.5","Lacazette","2.9",FALSE,NA,"a",1,3,46,330226,19139,460241,3539,"0.4","5.6","Lacazette",771,5,0,2,8,0,0,0,2,0,0,7,161,"221.4","126.9","335.0","68.1",114,14,132,19,39,19,52,16,NA,"",NA,"",3,"","Alexandre Lacazette"
"7",100,100,69140,0,0,0,0,0,2,"1.2","0.7",0,"Shkodran","0.2",7,FALSE,"","2020-08-15T10:00:11.331812Z",50,"69140.jpg","1.0","Mustafi","0.0",FALSE,NA,"a",1,3,3,12527,141,12365,114,"0.0","0.6","Mustafi",45,0,0,0,1,0,0,0,0,0,0,0,16,"11.6","1.0","0.0","1.3",410,161,408,160,581,216,429,164,NA,"",NA,"",NA,"","Shkodran Mustafi"
"8",NA,NA,80201,0,0,-1,1,2,1,"4.3","3.8",6,"Bernd","3.3",8,FALSE,"",NA,49,"80201.jpg","3.8","Leno","7.4",FALSE,NA,"a",1,3,60,477494,24992,571404,7447,"0.7","12.2","Leno",1440,0,0,4,19,0,1,0,0,0,38,6,293,"333.4","0.0","0.0","33.4",37,13,583,60,573,59,188,13,NA,"",NA,"",NA,"","Bernd Leno"
"9",100,100,84450,0,0,-3,3,0,3,"2.7","2.2",3,"Granit","1.7",9,FALSE,"","2020-12-13T22:30:16.182130Z",52,"84450.jpg","2.1","Xhaka","0.4",FALSE,NA,"a",1,3,25,27274,1324,63182,555,"0.3","4.8","Xhaka",904,1,0,3,12,0,0,0,2,1,0,1,122,"149.4","57.0","67.0","27.3",191,76,214,126,200,107,232,109,NA,"",1,"",NA,"","Granit Xhaka"
"10",100,100,92371,0,0,-1,1,0,2,"2.3","1.8",7,"Pablo","1.3",10,FALSE,"","2020-08-15T10:00:11.357231Z",44,"92371.jpg","4.0","Marí","0.1",FALSE,NA,"a",1,3,8,6247,3272,1600,302,"0.3","1.8","Marí",180,0,0,1,1,0,0,0,1,0,0,1,34,"40.4","10.9","4.0","5.5",344,132,354,129,373,145,382,144,NA,"",NA,"",NA,"","Pablo Marí"
"11",100,100,98745,0,0,1,-1,2,2,"2.7","2.2",6,"Héctor","1.7",11,FALSE,"","2020-12-13T22:30:16.198432Z",51,"98745.jpg","3.8","Bellerín","5.6",FALSE,NA,"a",1,3,53,775750,26672,745378,7014,"0.3","10.4","Bellerín",1227,0,3,4,16,0,0,0,5,0,0,9,254,"210.4","224.6","97.0","53.3",123,48,53,13,157,31,94,19,NA,"",NA,"",NA,"","Héctor Bellerín"
"12",100,100,101184,0,0,0,0,0,2,"1.0","0.5",0,"Calum","0.0",13,FALSE,"","2020-08-15T10:00:11.386295Z",45,"101184.jpg","0.0","Chambers","0.0",FALSE,NA,"a",1,3,0,1194,95,1482,71,"0.0","0.0","Chambers",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",538,206,523,206,506,200,541,206,NA,"",NA,"",NA,"","Calum Chambers"
"13",100,100,111457,0,0,-2,2,0,2,"1.0","0.5",0,"Sead","0.0",14,FALSE,"","2020-12-10T18:00:18.217079Z",48,"111457.jpg","2.0","Kolasinac","0.1",FALSE,NA,"a",1,3,2,5186,59,19731,92,"0.0","0.4","Kolasinac",90,0,0,0,1,0,0,0,0,0,0,0,9,"3.6","5.4","4.0","1.3",430,165,374,137,379,147,428,163,NA,"",6,"",NA,"","Sead Kolasinac"
"14",NA,NA,154043,0,0,-4,4,0,2,"2.5","2.0",1,"Ainsley","1.5",15,FALSE,"",NA,46,"154043.jpg","2.1","Maitland-Niles","0.8",FALSE,NA,"a",1,3,19,53465,602,142624,1129,"0.3","4.1","Maitland-Niles",385,0,1,1,6,0,0,0,0,0,0,1,85,"63.2","39.3","15.0","11.8",310,120,260,72,327,120,329,117,NA,"",NA,"",NA,"","Ainsley Maitland-Niles"
